Title,Text,Tag,Days_Left,Price,Total Bids ,Url
Project for Product Designer/CAD/CAM -- 19/05/13 23:22:36,"Hi Product Designer/CAD/CAM, I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,9 days left,$8 Avg Bid,1 bids,https://www.freelancer.com/projects/manufacturing-design/project-for-product-designer-cad-19594164/
Project for Neha G.,"Hi Neha G., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,9 days left,$25 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/threed-modelling/project-for-neha-19591338/
Gazebo design for terrace,Required a gazebo design with structural drawing.,AutoCAD Architecture,5 days left,$17 Avg Bid,10 bids,https://www.freelancer.com/projects/building-architecture/gazebo-design-for-terrace/
Project for Sama A. -- 19/05/12 17:14:44,"Hi Sama A., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,8 days left,$8 Avg Bid,1 bids,https://www.freelancer.com/projects/building-architecture/project-for-sama/
Landscape and Interior Designer for homestay,"i have a 0.85 Acres land, i would like to develop the land into a homestay with tiny house concept. And would like to have a brilliant idea and concept for the development. Also i had found some samples. Contact me if interested.",AutoCAD Architecture,4 days left,$89 Avg Bid,17 bids,https://www.freelancer.com/projects/rendering/landscape-interior-designer-for-homestay/
Architecture Project,"Make Cad Drawing , Make SketchUp of the Drawing , Make Views , Make 3D renders . Design Ready - caves on a mountain in Rajasthan",AutoCAD Architecture,3 days left,$22 Avg Bid,22 bids,https://www.freelancer.com/projects/autocad/architecture-project/
Project for Razmi R. -- 19/05/10 10:46:59,"Hi Razmi R., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,6 days left,$1400 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/data-entry/project-for-razmi/
Architectural and Interior,Make SketchUp for a Bungalow design . Cad files and Design Ready . G+ 2 bungalow . - SketchUp - Views - Render,AutoCAD Architecture,3 days left,$108 Avg Bid,7 bids,https://www.freelancer.com/projects/autocad/architectural-interior/
3d model in 5 min,I need a 3D model of something in 5 min for building only render,AutoCAD Architecture,2 days left,$23 Avg Bid,8 bids,https://www.freelancer.com/projects/rendering/model-min/
Site plan and drainage for development,"Hello, looking for someone who has experience doing site plan, with drainage/grading/erosion control. This is for town home development. Nine buildings totaling 60 units on 8 acres.",AutoCAD Architecture,2 days left,$462 Avg Bid,27 bids,https://www.freelancer.com/projects/autocad/site-plan-drainage-for-development/
Project for Shahadat H.,"Hi Shahadat H., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,5 days left,$2 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/threed-modelling/project-for-shahadat/
Simple Autocad Drawing,I need a very simple drawing and fast. See attachment.,AutoCAD Architecture,1 day left,$21 Avg Bid,99 bids,https://www.freelancer.com/projects/autocad-architecture/simple-autocad-drawing/
Project for Muhammad Y.,"Hi Muhammad Y., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,4 days left,$242 Avg Bid,1 bids,https://www.freelancer.com/projects/graphic-design/project-for-muhammad-19479853/
Project for Samerah A.,floor plans for low voltage systems drawings in autocade for a big campus of buildings,AutoCAD Architecture,4 days left,$3 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/website-design/project-for-samerah/
19107-289 GIVEN TCE PADDINGTON- AMENDMENTS,EXISTING ARCH & STR DRAWINGS NEED TO BE REVISED AS PER THE FABRICATORS CANOPY DRAWINGS,AutoCAD Architecture,1 day left,$46 Avg Bid,5 bids,https://www.freelancer.com/projects/structural-engineering/given-tce-paddington-amendments/
Architectural blog and portfolio,"To make an architectural portfolio and blog for a website . To edit plans , sections and elevation . To make 3D views and SketchUp .",AutoCAD Architecture,Ended,$107 Avg Bid,10 bids,https://www.freelancer.com/projects/photoshop/architectural-blog-portfolio/
Project for farahasami -- 19/05/06 12:16:01,Copywriting type karunga,AutoCAD Architecture,2 days left,$9 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/copywriting/project-for-farahasami/
Project for Shaimaa E.,"Hi Shaimaa E., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,1 day left,$20 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/building-architecture/project-for-shaimaa-19446920/
Project for Kareem K.,"Hi Kareem K., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,1 day left,$9 Avg Bid,1 bids,https://www.freelancer.com/projects/brochure-design/project-for-kareem-19446225/
Project for Archana M. -- 19/05/04 11:36:15,Hello,AutoCAD Architecture,5 hours left,$10 Avg Bid,1 bids,https://www.freelancer.com/projects/photoshop/project-for-archana/
Project for Zeqir H. -- 19/05/03 14:23:51,"Hi Zeqir H., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$20 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/threeds-max/project-for-zeqir-19427153/
Project for Zeqir H. -- 19/05/03 14:21:54,"Hi Zeqir H., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$20 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/threeds-max/project-for-zeqir/
Architecture thesis panel presentation.,I need Photoshop templates for my architecture thesis panels in .psd for presentation purpose. Open for some great graphic designs for the panel presentations. Make i need it in .psd format only.,AutoCAD Architecture,Ended,$24 Avg Bid,10 bids,https://www.freelancer.com/projects/graphic-design/architecture-thesis-panel-presentation/
Project for Alba Miranda Virginia B. -- 19/05/02 19:17:28,"I'll charge 30$ which includes: - Floor plan with measurements - Visitable 3D model of the space, so you can check out the design in the process - List of elements with price.",AutoCAD Architecture,Ended,$21 Avg Bid,1 bids,https://www.freelancer.com/projects/data-entry/project-for-alba-miranda-virginia/
Project for Shaimaa E.,I'll send you info for contest: https://www.freelancer.com/contest/House-Design-1491101,AutoCAD Architecture,Ended,$10 Avg Bid,1 bids,https://www.freelancer.com/projects/building-architecture/project-for-shaimaa-19420362/
Architect needed to do a small taks,I need a edification model of a building in 3D and details of the project and documentation.,AutoCAD Architecture,Ended,$56 Avg Bid,33 bids,https://www.freelancer.com/projects/threed-design/architect-needed-small-taks/
Project for Alvaro Fernando R. -- 2,"Hi Alvaro Fernando R., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$500 Avg Bid,1 bids,https://www.freelancer.com/projects/photoshop/project-for-alvaro-fernando-19415862/
Project for Karthikeyan S. -- 19/05/02 16:01:39,J No 16117 -497 Moggil rd Indooroopilly-revise structural dwgs,AutoCAD Architecture,Ended,$35 Avg Bid,1 bids,https://www.freelancer.com/projects/research-writing/project-for-karthikeyan/
How would you rebuild Notre-Dame de Paris' spire?,"Tragedy struck the iconic Notre-Dame Cathedral in Paris, France when a fire ravaged its roof and caused its 93-meter high spire to collapse. The French government has vowed to rise from the ashes by rebuilding the cathedral. They've announced their intentions to launch an international architectural competition to replace the fallen spire. This is an exciting opportunity to contribute to t...",AutoCAD Architecture,18 days left,$500,9 entries,https://www.freelancer.com/contest/how-would-you-rebuild-notredame-de-paris-spire-1495760.html
Site Development Plan,"Complete Site Development Plan Civil Site Plan: Grading, Utility, Landscape Architectural Site Plan: Building & elevation R-MF West Side 8 total Townhouses 3bd 2ba no basement 1800sf with garage. 4 in front facing south 4 in rear facing north. I have complete survey with elevation. small drive parallel in front of south facing building and small drive parallel in front of north facing building...",AutoCAD Architecture,Ended,$1944 Avg Bid,1 bids,https://www.freelancer.com/projects/rendering/site-development-plan/
Shop Drawings: Structural Cold Formed Metal Framing,"I need to develop structural shop drawings of cold formed metal framing. It should include fastening and anchoring details for the Cold-formed metal framing. Show layout, spacing, sizes, thicknesses, and types of cold-formed metal framing; fabrication; and fastening and anchorage details, including mechanical fasteners. Show reinforcing channels, opening framing, supplemental framing, strapping,...",AutoCAD Architecture,Ended,$1222 Avg Bid,2 bids,https://www.freelancer.com/projects/autocad/shop-drawings-structural-cold-formed/
Project for Adnan L.,"Hi Adnan, as shared already via chat I need next to the product package of the straws as well a one pager brochure for another product, table felt mates. I have prepared all details for you in a word doc. I guess it is only a small project but assume it a good fit as you did a great porposal on our product packaging",AutoCAD Architecture,Ended,$45 Avg Bid,1 bids,https://www.freelancer.com/projects/brochure-design/project-for-adnan-19409137/
Project for Mohamed S. -- 19/05/01 16:31:13,"To creat and develop the concept design , floor plans, elevation for a vill that consist of a basement , ground floor, first floor. With outside setting and dining areas for gusts and outside service quarter that has outside kitchen, maid room, laundry and store. I also want an indoor swimming pool in the basement with a a view to the outside garden . More details and comments will will be give...",AutoCAD Architecture,Ended,$600 Avg Bid,1 bids,https://www.freelancer.com/projects/threed-modelling/project-for-mohamed-19408568/
Project for Heidi T.,"Hi Heidi T., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$3 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/threed-modelling/project-for-heidi/
Project for Ali A.,"Hi Ali A., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$7 Avg Bid,1 bids,https://www.freelancer.com/projects/engineering/project-for-ali-19400349/
Site Survey,Marking up P&ID drawings on Site for 7 Days in South Wales,AutoCAD Architecture,Ended,$1572 Avg Bid,4 bids,https://www.freelancer.com/projects/autocad/site-survey/
Project for Hossein S. -- 2,"This is for the large Vlasic Home you made, just like last time, I will release the payment once I get the SketchUp file.",AutoCAD Architecture,Ended,$200 Avg Bid,1 bids,https://www.freelancer.com/projects/threed-modelling/project-for-hossein-19398226/
outdoor setting,"i need a outdoor setting made for my restaurant at the front, it will be 2x3 metres",AutoCAD Architecture,Ended,$57 / hr Avg Bid,4 bids,https://www.freelancer.com/projects/building/outdoor-setting/
Project for Lakmila J. -- 19/04/30 12:15:41,"Hi Lakmila J., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$108 Avg Bid,1 bids,https://www.freelancer.com/projects/data-entry/project-for-lakmila-19395016/
Project for Shaimaa E.,"Hi Shaimaa E., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$56 Avg Bid,1 bids,https://www.freelancer.com/projects/building-architecture/project-for-shaimaa/
NEED A MECHANICAL ENGINEER,"SMALL STOREFRONT WANTS TO ADD 2ND FLOOR FOR STORAGE. NEEDS TO REDO EXISTING DUCTWORK IN CEILING, MAKE SURE EXISTING FURNACE CAN HANDLE ADDED HEAT LOAD. DESIGN EVAPORATIVE COOLER LAYOUT ON NEW FLAT ROOF.",AutoCAD Architecture,Ended,$52 / hr Avg Bid,2 bids,https://www.freelancer.com/projects/autocad/need-mechanical-engineer/
Project for Dhara P. -- 19/04/29 23:19:40,"Hi Dhara P., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$2 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/autocad/project-for-dhara/
Autocad designer,"Working on a hospitality project in palm springs. ISO of a auto cad designer to assist in doing all custom detailed drawings of the space, built ins and spec sheets. Must be local and be able to sit in on client meetings.",AutoCAD Architecture,Ended,$41 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/autocad/autocad-designer-19301232/
Project for Jyoti S.,"Hi Jyoti S., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$12 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/graphic-design/project-for-jyoti-19387307/
3D house elevation,Have concept scaled floor plan of a 2-storey house and need a 3D render of one elevation.,AutoCAD Architecture,13 days left,$110 Avg Bid,123 bids,https://www.freelancer.com/projects/rendering/house-elevation-19383741/
Space floor plan design for small office,I need to set spaces in a floor plan for a small office (5 people),AutoCAD Architecture,Ended,$33 Avg Bid,27 bids,https://www.freelancer.com/projects/autocad-architecture/space-floor-plan-design-for/
Project for Noemi V. -- 19/04/28 22:38:31,"Hi Noemi V., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$108 Avg Bid,1 bids,https://www.freelancer.com/projects/translation/project-for-noemi/
Project for Lakmila J.,"Hello Freelancers, Im looking for a female virtual assistant. Also must be an open minded lady who is comfortable enough to do video shows with me too. Preferred age is 18-45. *No advance payment",AutoCAD Architecture,Ended,$20 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/data-entry/project-for-lakmila-19377584/
Project for Alvaro Fernando R.,Hi Alvaro Can you give me an offer of how much it would cost to design the restaurant. The one you did the kitchen and bar for. The kitchen is a little different but same arrangement. The restaurant is abut 400m2 and we need electric drawings and ventilation systems no heating or cooling just fresh air for dining rum and standard ventilation for kitchen.,AutoCAD Architecture,Ended,$10 Avg Bid,1 bids,https://www.freelancer.com/projects/photoshop/project-for-alvaro-fernando/
Drawing Conversion,Pdf/Sketch-up to AutoCad: sketch-up files to be emailed separately.,AutoCAD Architecture,Ended,$97 Avg Bid,32 bids,https://www.freelancer.com/projects/autocad-architecture/drawing-conversion/
Interior design,Make a new design,AutoCAD Architecture,Ended,$4 / hr Avg Bid,37 bids,https://www.freelancer.com/projects/threed-modelling/interior-design-19369073/
2D 3D Design,"Licenced Civil Engineer from the Philippines experience in 2D 3D AutoCAD modeling, SketchUp and also Quantity Surveying",AutoCAD Architecture,Ended,$5 / hr Avg Bid,28 bids,https://www.freelancer.com/projects/threed-design/design-19369057/
California Architect needed to prepare final set of Plans based on local codes,"We are intending to build a two story office building with subterranean parking at our property is located in Glendale, CA 91201. We have designed our preliminary plans, and we are looking for someone experienced to create a set of architectural plans, and verify with the City and the zoning requirements. Final deliverable is a set of Architectural Plans approved by the city.",AutoCAD Architecture,Ended,$42 / hr Avg Bid,10 bids,https://www.freelancer.com/projects/building-architecture/california-architect-needed-prepare/
I need a journeyman drafters,"I’m looking to have a 2nd set of hands for my growing business. I’ve been doing construction drawings for 8+ years and I’m wanting to take an interested and willing drafter under my wing to help with the workload. I’m willing to help train in the code compliance aspect of designs, but applicants need to have intermediate understanding of autocad and building practices.",AutoCAD Architecture,Ended,$142 Avg Bid,63 bids,https://www.freelancer.com/projects/autocad/need-journeyman-drafters/
building engineer TFG final Project,"We are doing the final project, and we dont know how to use Cype. We need someone who knows it, for do the calculates of the pillars, bidirectional slabs, foundation and beams. We have the plans of the project",AutoCAD Architecture,Ended,$96 Avg Bid,5 bids,https://www.freelancer.com/projects/engineering/building-engineer-tfg-final-project/
2 simple patent drawings,We operate under a strict NDA with the basis that I am the employer and you are the employee. The work is considered work done for hire under the US copyright act.,AutoCAD Architecture,Ended,$28 Avg Bid,23 bids,https://www.freelancer.com/projects/drawing/simple-patent-drawings/
Auo cad drawing,When sketch is given I could do aut cad drawing. Or when hand drawn plan could drawn in auto cad,AutoCAD Architecture,Ended,$5 / hr Avg Bid,49 bids,https://www.freelancer.com/projects/autocad/auo-cad-drawing/
Topography survey,"1000 hectares of land need topography survey in 2 and 3d. to detain contor, terrain, mountain, valley,water and others.",AutoCAD Architecture,Ended,$569 Avg Bid,4 bids,https://www.freelancer.com/projects/civil-engineering/topography-survey/
Project for Ankit P. -- 19/04/25 16:08:19,"Hi Ankit P., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$10 Avg Bid,1 bids,https://www.freelancer.com/projects/photo-editing/project-for-ankit-19348222/
Home furnishing and interior/exterior design,"I have purchased a new house, for which I want to buy all the furniture and do the interior design (mostly new painting, don't plan on doing replumbing or any modification) and the backyard. I am attaching the drawings for the floor plan, and also a virtual view of the house. [login to view URL] [login to view URL] We are a family of three (husband, wife, daughter 9 yo). We want: - On...",AutoCAD Architecture,Ended,$3000 Avg Bid,2 bids,https://www.freelancer.com/projects/threed-modelling/home-furnishing-interior-exterior-design/
Louvre facade,I need this designed,AutoCAD Architecture,Ended,$17723 Avg Bid,39 bids,https://www.freelancer.com/projects/threed-design/louvre-facade/
Need a building plan,Need a vaastu building plan for 20*30 plot. Measuring: East to West 20 feet North to South 30 feet bounded on the: East by : other plot West by : 30 feet road North by : other plot South by : 50 feet road My requirements: Ground floor: one shop and remaining space parking. First floor : 1 BHK house with washing cloths drying space. Second floor : Same as first floor third floor :...,AutoCAD Architecture,Ended,$148 Avg Bid,3 bids,https://www.freelancer.com/projects/building-architecture/need-building-plan/
I would like to hire a Landscape Designer,"I'm looking to landscape the front of the house, which could include transplanting some already existing bushes. I'm pretty sure I need soil brought in and I would like to add lighting. Also looking to landscape around pool screen enclosure",AutoCAD Architecture,Ended,$1500 - $3000,0 bids,https://www.freelancer.com/projects/landscaping-gardening/would-like-hire-landscape-designer-19120729/
Private project or contest #19076124,Please Sign Up or Login to see details.,AutoCAD Architecture,Ended,$183 Avg Bid,1 bids,https://www.freelancer.com/login?goto=Y2IxZDk2NDM4ZmNjZTU5NDNlYThlY2Q0ZmE4ODgwNGFodHRwczovL3d3dy5mcmVlbGFuY2VyLmNvbS9wcm9qZWN0cy8xOTA3NjEyNC5odG1s
Restaurant and Bar Sales Brochure,"We will be designing two separate sales brochures for our various F&B outlets - housed in a hotel and entertainment destination, respectively. Altogether, we require 17 technical drawings of floor plans and 1 sketching of a building. We do not require help for putting together the overall design of the brochure. Each brochure has a different mood and style - referenced in the brief.",AutoCAD Architecture,Ended,$10 Avg Bid,1 bids,https://www.freelancer.com/projects/threed-design/restaurant-bar-sales-brochure/
Project for Chandrasekhar G. -- 19/04/23 18:44:23,Hello. I am trying to create a way to add written signatures to google forms. My best guess is to create an addon similar to the below is this somthing you can assist with? Thanks [login to view URL],AutoCAD Architecture,Ended,$49 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/seo/project-for-chandrasekhar-19332046/
Project for Chandrasekhar G. -- 19/04/23 15:18:13,"Hi Chandrasekhar G., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$49 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/java-spring/project-for-chandrasekhar-19325390/
Project for Chandrasekhar G. -- 19/04/23 15:17:38,"Hi Chandrasekhar G., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$5500 Avg Bid,4 bids,https://www.freelancer.com/projects/java-spring/project-for-chandrasekhar/
4704 Raley Blvd,we are looking to change existing site from M1 zoning residential to commercial property we will need the following - site plan - one ADA bathroom addition - one 12x 20 rood addition - Apply asphalt to the site - Parking - Driveway - landscape - electrical upgrades,AutoCAD Architecture,Ended,$21 Avg Bid,14 bids,https://www.freelancer.com/projects/building-architecture/raley-blvd/
"cad Drawing, paper to Cad and pdf","two floors on paper, resize them to scale on CAD and generate PDF.",AutoCAD Architecture,Ended,$247 Avg Bid,54 bids,https://www.freelancer.com/projects/building-architecture/cad-drawing-paper-cad-pdf/
CAD files from scans,We have 3 scanned drawings that need to be redrawn into preferably latest version of Autocad format (dxf). Must be redrawn exactly the same and wording must be exact (Portuguese language a benefit but not a requirement). Once complete we also require PDF copy of drawings to sit alongside the original dxf files. The 3 full drawings are shown in each of the jpg images attached. Each drawing has an...,AutoCAD Architecture,Ended,$141 Avg Bid,10 bids,https://www.freelancer.com/projects/graphic-design/cad-files-from-scans/
Optical shop lighting design,"I need a lighting designer for my optical shop showroom. Its 87 square meter (12*7.3) with 4m ceiling height , I have bought track light system consisting of 22 pics of LED spot light , with 3200 lumen , 24 angle , 4000k color, and 360 degrees adjustable , with 10 pics of 2meters tracks. So I need to know at which height I should place them and how far from the wall the should be to give me the ...",AutoCAD Architecture,Ended,$126 Avg Bid,4 bids,https://www.freelancer.com/projects/building-architecture/optical-shop-lighting-design/
Project for Krupal P. -- 19/04/04 19:19:05,"Hi Krupal P., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$110 Avg Bid,12 bids,https://www.freelancer.com/projects/cad-cam/project-for-krupal/
Autocad plan,I want a freelancer to draw me this photo using autocad. As I will give him a specific autocad file to work on. The drawing should be exactly as shown in the attached photo.,AutoCAD Architecture,Ended,$8 Avg Bid,1 bids,https://www.freelancer.com/projects/autocad/autocad-plan-19301731/
Project for smitsyan -- 19/04/20 14:48:35,"Hi smitsyan, I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$5 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/graphic-design/project-for-smitsyan/
Project for Ma Imaculada Concepcion R. -- 19/04/20 08:59:46,"Hi Ma Imaculada Concepcion R., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$926 Avg Bid,20 bids,https://www.freelancer.com/projects/logo-design/project-for-imaculada-concepcion/
Design a livestock transport vessel,"We are searching for talented marine engineers to re-design a vehicle transport vessel for safe, humane livestock transportation. More details will be provided upon candidate selection.",AutoCAD Architecture,Ended,$1071 Avg Bid,7 bids,https://www.freelancer.com/projects/engineering/design-livestock-transport-vessel/
Wisconsin Engineer to stamp plans,Looking for a licensed Wisconsin engineer to review and stamp building plans for the state.,AutoCAD Architecture,Ended,$500 Avg Bid,1 bids,https://www.freelancer.com/projects/building-architecture/wisconsin-engineer-stamp-plans/
Project for Stephen K. -- 19/04/19 13:22:30,I need drawings to get permit for a rectangular canopy/ pergola at the back of my house. Can you help me ?,AutoCAD Architecture,Ended,$500,44 entries,https://www.freelancer.com/projects/data-entry/project-for-stephen-19291146/
"I need an approximate layout of a trailer converted into a bar. The trailer is 8m x 2.1m. Must have a bar for serving drinks and seating area. Designer can send the layout, front view, side view or possibly 3d model.",I need a 3D/layout model of a Trailer converted as a Bar. It will be of 8m x 2m. We will be using the trailer to attend exhibition and also host events. Pictures in attachement are for reference. NOTE I NEED A TRAILER DESIGN THAT HAS A BAR THAT SELLS ALCOHOLIC DRINK AND COCKTAILS. NO KITCHEN OR FOOD WILL BE SERVED IN IT. SO IT SHOULD LOOK LIKE A TYPICAL BAR. THE BAR MUST BE DESIGNED SO CUSTOMERS...,AutoCAD Architecture,Ended,$28 Avg Bid,73 bids,https://www.freelancer.com/contest/i-need-an-approximate-layout-of-a-trailer-converted-into-a-bar-the-trailer-is-m-x-m-must-have-a-bar-for-serving-drinks-and-seating-area-designer-can-send-the-layout-front-view-side-view-or-possibly-d-model-1490683.html
Convert PDF to Blueprint Schematic Layout,Architectural Plan: Convert attachment 1 to architectural schematic like attachment 2 complete with measurements etc + variations to kitchen lay-out to follow,AutoCAD Architecture,Ended,$540 - $1080,0 bids,https://www.freelancer.com/projects/autocad/convert-pdf-blueprint-schematic-layout/
Housing concept + 3d,A highrise residential concept did by me,AutoCAD Architecture,Ended,$17 Avg Bid,1 bids,https://www.freelancer.com/projects/threed-design/housing-concept/
Project for Chita C. -- 2,"Hi Chita, For the two hallways and attic?",AutoCAD Architecture,Ended,$28 Avg Bid,1 bids,https://www.freelancer.com/projects/threed-design/project-for-chita-19278048/
Project for Chita C.,"Hi Chita C.,",AutoCAD Architecture,Ended,$250 Avg Bid,1 bids,https://www.freelancer.com/projects/threed-design/project-for-chita-19258040/
Project for Jyoti S.,"Hi Jyoti S., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$9 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/graphic-design/project-for-jyoti-19256245/
Project for Surbhi P.,"Hi Surbhi P., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$99 Avg Bid,34 bids,https://www.freelancer.com/projects/threed-design/project-for-surbhi-19252977/
Create AutoCad Electrical Drawing from pef schematic of Altium,I want to create proper AUTOCAD ELECTRICAL SCHEMATICS from Pdf s of Altium schematics,AutoCAD Architecture,Ended,$10 Avg Bid,1 bids,https://www.freelancer.com/projects/autocad/create-autocad-electrical-drawing-from/
Project for wfprojetosindust -- 19/04/16 00:47:38,"Hi wfprojetosindust, I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$15,15 entries,https://www.freelancer.com/projects/graphic-design/project-for-wfprojetosindust/
Sample 2d layout and visualization,We want samples of a 2d layout and a visualization/3d render of an office space interior to be sent to a potential client. You can send past work you have done. Please send the sample without logo or names on the picture. The selected freelancer will be hired for any jobs of this type we receive in the future.,AutoCAD Architecture,Ended,$30 Avg Bid,1 bids,https://www.freelancer.com/contest/sample-d-layout-and-visualization-1489263.html
Project for Aya E. -- 19/04/15 10:16:31,"Hi Aya, I need some drawings done.",AutoCAD Architecture,Ended,$13 Avg Bid,1 bids,https://www.freelancer.com/projects/concept-design/project-for-aya/
Project for Ali A.,"Hi Ali A., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$18 Avg Bid,1 bids,https://www.freelancer.com/projects/autocad/project-for-ali-19239571/
autocad detailing,I have experience in peb detailing. so i can handle all connections in steel building,AutoCAD Architecture,Ended,$387 Avg Bid,56 bids,https://www.freelancer.com/projects/excel/autocad-detailing/
Teahouse interior design -- 3,I am looking experienced teahouse designer to remodel the existing teahouse business. - work space layout -3D interior design - BOM -lightening,AutoCAD Architecture,Ended,$15 Avg Bid,1 bids,https://www.freelancer.com/projects/threed-design/teahouse-interior-design-19233091/
Project for Ali A.,"Hi CreativeEngAA, I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$27 Avg Bid,85 bids,https://www.freelancer.com/projects/autocad/project-for-ali-19229050/
SketchUp and AutoCAD,Make 3D designs in SketchUp I am looking for a person who is very well versed with both AutoCAD and SketchUp and deliver at affordable prices. I will usually need the project to be delivered within a day.,AutoCAD Architecture,Ended,$808 Avg Bid,5 bids,https://www.freelancer.com/projects/threed-design/sketchup-autocad/
Building Regulations Drawings,Various projects that require production of building regulations drawings,AutoCAD Architecture,Ended,$7 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/building-designer/building-regulations-drawings/
Project for Jovan D.,"hello sir"" I am srk, I have experiences for this job, Please give me a chance, I try my best..",AutoCAD Architecture,Ended,$10 / hr Avg Bid,93 bids,https://www.freelancer.com/projects/autocad/project-for-jovan/
Looking for Autocad drafter / structural drafter,Autocad drafter / structural drafter needed. Looking to hire full time with weekly pay. Clean PROFESSIONAL work is a must. Must speak perfect English Must deliver on time. Thank you!,AutoCAD Architecture,Ended,$37 Avg Bid,1 bids,https://www.freelancer.com/projects/autocad/looking-for-autocad-drafter-structural/
Project for QuickLancer_CAD_Designer -- 19/04/12 11:41:57,Laser cut,AutoCAD Architecture,Ended,$23 Avg Bid,1 bids,https://www.freelancer.com/projects/graphic-design/project-for-quicklancer-cad-designer-19219314/
Proyecto para Jyoti S.,orizoom original logo,AutoCAD Architecture,Ended,,,https://www.freelancer.com/projects/graphic-design/proyecto-para-jyoti/
